代码,名称,当前价,信号,历史胜率,期望收益,综合评分,建议
600110,诺德股份,12.2,强势假阴洗盘,85.7%,18.3%,112.14285714285714,精选品种，一击必中
002591,恒大高新,12.86,极致缩量阴线,100.0%,10.1%,100.0,轻仓分批
002474,榕基软件,14.19,极致缩量阴线,66.7%,14.6%,93.33333333333333,轻仓分批
600973,宝胜股份,14.78,极致缩量阴线,66.7%,3.1%,93.33333333333333,轻仓分批
