代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
601133,柏诚股份,17.14,100%,80.0%,10,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000703,恒逸石化,12.19,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600719,大连热电,6.96,100%,7.1%,14,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002795,永和智控,7.93,100%,42.9%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603098,森特股份,17.33,100%,37.5%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603165,荣晟环保,15.46,100%,16.7%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002887,绿茵生态,11.55,100%,100.0%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
605366,宏柏新材,10.84,100%,100.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002083,孚日股份,11.77,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001338,永顺泰,13.21,100%,0.0%,11,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603990,麦迪科技,14.97,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
