代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
002471,中超控股,8.78,100%,83.3%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603162,海通发展,13.86,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603588,高能环境,15.68,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600222,太龙药业,7.27,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000065,北方国际,14.38,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605377,华旺科技,9.63,100%,45.5%,11,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600769,祥龙电业,14.45,100%,30.0%,10,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002972,科安达,12.94,100%,12.5%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002038,双鹭药业,7.34,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601598,中国外运,6.06,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002370,亚太药业,7.21,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001338,永顺泰,13.56,100%,0.0%,13,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002752,昇兴股份,6.45,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603886,元祖股份,13.16,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600682,南京新百,7.16,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000950,重药控股,6.0,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
