代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
600768,宁波富邦,17.13,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600546,山煤国际,12.11,100%,66.7%,9,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000703,恒逸石化,14.99,100%,66.7%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600550,保变电气,16.06,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600063,皖维高新,7.03,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603311,金海高科,18.53,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605228,神通科技,15.08,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600955,维远股份,18.38,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600469,风神股份,6.98,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002795,永和智控,8.34,100%,44.4%,9,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603577,汇金通,11.28,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002963,豪尔赛,15.11,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605336,帅丰电器,15.78,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603886,元祖股份,13.65,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002333,罗普斯金,5.75,100%,28.6%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002771,真视通,17.33,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002322,理工能科,14.13,100%,14.3%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601838,成都银行,17.59,100%,14.3%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
