代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
600152,维科技术,9.99,100%,77.8%,9,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
601339,百隆东方,7.28,100%,62.5%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000973,佛塑科技,17.59,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600012,皖通高速,15.34,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601002,晋亿实业,5.48,100%,37.5%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600268,国电南自,15.18,100%,25.0%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600769,祥龙电业,13.97,100%,12.5%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603808,歌力思,10.38,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
605366,宏柏新材,11.0,100%,100.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002960,青鸟消防,11.78,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002972,科安达,12.77,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
