代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
603162,海通发展,14.38,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000949,新乡化纤,7.79,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603878,武进不锈,8.0,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002802,洪汇新材,14.45,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601002,晋亿实业,6.27,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605055,迎丰股份,11.22,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603071,物产环能,14.09,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002763,汇洁股份,8.42,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600356,恒丰纸业,9.44,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002293,罗莱生活,10.96,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603132,金徽股份,19.5,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605208,永茂泰,15.09,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603033,三维股份,11.31,100%,25.0%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600901,江苏金租,7.0,100%,16.7%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002515,金字火腿,6.15,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002565,顺灏股份,18.85,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600590,泰豪科技,15.83,100%,100.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
601963,重庆银行,10.8,100%,100.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603328,依顿电子,12.97,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000551,创元科技,14.33,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600232,金鹰股份,8.48,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600551,时代出版,8.17,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603578,三星新材,13.17,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601009,南京银行,11.68,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
