代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
002283,天润工业,9.45,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603819,神力股份,13.16,100%,14.3%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601187,厦门银行,7.68,100%,14.3%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600769,祥龙电业,13.7,100%,12.5%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603017,中衡设计,14.54,100%,100.0%,7,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
601598,中国外运,6.27,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002972,科安达,12.6,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600996,贵广网络,9.43,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600429,三元股份,5.85,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
