代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
603335,迪生力,6.42,100%,75.0%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600237,铜峰电子,9.2,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
001366,播恩集团,14.47,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002806,华锋股份,14.19,100%,62.5%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002492,恒基达鑫,8.12,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002802,洪汇新材,14.29,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601002,晋亿实业,6.2,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600469,风神股份,6.95,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002416,爱施德,13.43,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600072,中船科技,13.16,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600864,哈投股份,7.08,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605377,华旺科技,9.53,100%,41.7%,12,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002723,小崧股份,9.79,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002832,比音勒芬,18.04,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002763,汇洁股份,8.38,100%,33.3%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603132,金徽股份,18.76,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605336,帅丰电器,15.74,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002972,科安达,12.97,100%,30.0%,10,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603303,得邦照明,15.78,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002413,雷科防务,13.55,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000719,中原传媒,14.02,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002345,潮宏基,10.86,100%,16.7%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001286,陕西能源,11.42,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002654,万润科技,14.41,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603088,宁波精达,13.37,100%,100.0%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000550,江铃汽车,18.95,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002579,中京电子,12.69,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603269,海鸥股份,14.72,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603010,万盛股份,12.79,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600212,绿能慧充,7.68,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002745,木林森,8.81,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000037,深南电A,10.78,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600689,上海三毛,13.33,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603668,天马科技,13.62,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002209,达 意 隆,16.65,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603587,地素时尚,12.91,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600817,宇通重工,12.58,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
003015,日久光电,15.36,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000936,华西股份,8.11,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601939,建设银行,9.74,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002324,普利特,16.42,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001330,博纳影业,7.81,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000060,中金岭南,6.49,100%,0.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000876,新 希 望,8.58,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600973,宝胜股份,7.39,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603177,德创环保,11.66,100%,0.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002051,中工国际,10.65,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600377,宁沪高速,12.15,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002708,光洋股份,13.01,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603339,四方科技,13.74,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600288,大恒科技,14.8,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002774,快意电梯,11.38,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603633,徕木股份,8.39,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002465,海格通信,15.93,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000848,承德露露,8.36,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600776,东方通信,16.45,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600644,乐山电力,12.24,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603926,铁流股份,19.02,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600561,江西长运,6.76,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002722,物产金轮,15.2,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601007,金陵饭店,8.28,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000042,中洲控股,8.92,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002668,TCL智家,9.73,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603223,恒通股份,8.98,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600106,重庆路桥,6.04,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002695,煌上煌,11.44,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600855,航天长峰,18.83,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002107,沃华医药,7.55,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002600,领益智造,14.16,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
