代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
603601,再升科技,13.31,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603599,广信股份,14.85,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000617,中油资本,10.26,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000678,襄阳轴承,13.01,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002675,东诚药业,13.89,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000950,重药控股,6.08,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
