代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
600889,南京化纤,16.05,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601699,潞安环能,17.5,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002072,凯瑞德,8.43,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601988,中国银行,6.04,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600985,淮北矿业,15.53,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000521,长虹美菱,5.88,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601288,农业银行,6.61,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600000,浦发银行,9.46,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601328,交通银行,6.95,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603330,天洋新材,8.16,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601658,邮储银行,5.04,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
