代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
002860,星帅尔,13.77,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600601,方正科技,13.29,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002708,光洋股份,14.83,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002194,武汉凡谷,11.95,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002072,凯瑞德,9.08,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002446,盛路通信,11.19,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000920,沃顿科技,13.69,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002815,崇达技术,18.01,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002669,康达新材,17.6,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603637,镇海股份,19.3,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002137,实益达,10.21,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600579,中化装备,7.17,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603429,集友股份,9.81,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603328,依顿电子,13.75,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000795,英洛华,9.37,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000737,北方铜业,14.27,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603458,勘设股份,14.11,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
