代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
002631,德尔未来,7.76,100%,62.5%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600889,南京化纤,16.18,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
003013,地铁设计,14.95,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603488,展鹏科技,12.09,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002520,日发精机,6.41,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600516,方大炭素,5.7,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
