代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
603997,继峰股份,14.17,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600011,华能国际,8.41,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600172,黄河旋风,12.56,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000937,冀中能源,5.7,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000403,派林生物,12.27,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
