代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
603527,众源新材,14.49,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
003025,思进智能,16.32,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002849,威星智能,17.44,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000429,粤高速Ａ,13.69,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600826,兰生股份,9.41,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001896,豫能控股,19.81,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
