代码,名称,类型,调整天数,单阳日,现价
605555,德昌股份,强势型(优先),1,2026-03-26,16.81
600152,维科技术,强势型(优先),2,2026-03-25,10.42
600773,西藏城投,强势型(优先),3,2026-03-24,19.7
600490,鹏欣资源,强势型(优先),3,2026-03-24,7.54
000593,德龙汇能,强势型(优先),3,2026-03-24,15.33
000811,冰轮环境,强势型(优先),3,2026-03-24,18.1
600686,金龙汽车,强势型(优先),3,2026-03-24,17.66
600192,长城电工,强势型(优先),3,2026-03-24,8.82
600499,科达制造,强势型(优先),3,2026-03-24,16.8
600143,金发科技,中势型(稳健),4,2026-03-23,17.01
603687,大胜达,中势型(稳健),4,2026-03-23,15.63
600604,市北高新,中势型(稳健),5,2026-03-20,5.5
000670,盈方微,中势型(稳健),5,2026-03-20,8.98
605050,福然德,中势型(稳健),5,2026-03-20,14.66
