代码,名称,类型,调整天数,单阳日,现价
000586,汇源通信,强势型(优先),1,2026-04-02,18.87
002181,粤 传 媒,强势型(优先),1,2026-04-07,12.99
002051,中工国际,强势型(优先),1,2026-04-07,11.53
600250,南京商旅,强势型(优先),1,2026-04-07,13.5
000695,滨海能源,强势型(优先),1,2026-04-07,13.01
002274,华昌化工,强势型(优先),1,2026-04-07,6.4
600623,华谊集团,强势型(优先),1,2026-04-07,9.71
600195,中牧股份,强势型(优先),1,2026-04-07,8.3
603966,法兰泰克,强势型(优先),2,2026-04-03,13.82
600302,标准股份,强势型(优先),2,2026-04-03,12.2
603912,佳力图,中势型(稳健),4,2026-04-01,10.21
603949,雪龙集团,中势型(稳健),4,2026-04-01,18.37
600338,西藏珠峰,中势型(稳健),5,2026-03-27,16.51
603660,苏州科达,中势型(稳健),5,2026-03-31,9.52
