代码,名称,类型,调整天数,单阳日,现价
603861,白云电器,强势型(优先),1,2026-02-24,18.13
600667,太极实业,强势型(优先),1,2026-02-24,10.8
000811,冰轮环境,强势型(优先),1,2026-02-24,19.13
002478,常宝股份,强势型(优先),1,2026-02-24,11.55
002283,天润工业,强势型(优先),1,2026-02-24,10.05
603601,再升科技,强势型(优先),1,2026-02-24,13.02
600470,六国化工,强势型(优先),1,2026-02-24,7.84
603466,风语筑,强势型(优先),1,2026-02-24,12.97
600916,中国黄金,强势型(优先),1,2026-02-24,11.59
603002,宏昌电子,强势型(优先),1,2026-02-24,11.54
603588,高能环境,强势型(优先),1,2026-02-24,11.69
603330,天洋新材,强势型(优先),1,2026-02-24,8.2
600869,远东股份,强势型(优先),1,2026-02-24,14.26
601777,千里科技,强势型(优先),2,2026-02-13,11.39
600397,江钨装备,强势型(优先),2,2026-02-13,18.74
002448,中原内配,强势型(优先),3,2026-02-12,16.12
002131,利欧股份,强势型(优先),3,2026-02-12,9.34
688556,高测股份,中势型(稳健),4,2026-01-15,14.06
002012,凯恩股份,中势型(稳健),4,2026-02-11,7.38
603876,鼎胜新材,中势型(稳健),4,2026-02-11,19.73
600295,鄂尔多斯,中势型(稳健),4,2026-02-11,16.34
603618,杭电股份,中势型(稳健),4,2026-02-11,15.14
002810,山东赫达,中势型(稳健),4,2026-02-11,19.68
002340,格林美,中势型(稳健),4,2026-02-11,9.84
000582,北部湾港,中势型(稳健),4,2026-02-11,10.6
688096,京源环保,中势型(稳健),4,2026-01-15,9.13
000850,华茂股份,中势型(稳健),4,2026-02-11,5.84
688517,金冠电气,中势型(稳健),4,2026-01-19,18.05
600079,人福医药,中势型(稳健),4,2025-12-19,18.85
600299,安迪苏,中势型(稳健),4,2026-02-11,10.47
000612,焦作万方,中势型(稳健),4,2026-02-11,14.39
688156,路德环境,中势型(稳健),4,2026-01-19,19.76
688432,有研硅,中势型(稳健),5,2026-01-16,14.37
600452,涪陵电力,中势型(稳健),5,2026-02-10,12.05
000571,新大洲A,中势型(稳健),5,2026-02-10,7.45
605555,德昌股份,中势型(稳健),5,2026-02-10,18.37
603328,依顿电子,中势型(稳健),5,2026-02-10,13.21
001217,华尔泰,中势型(稳健),5,2026-02-10,14.83
002215,诺 普 信,中势型(稳健),5,2026-02-10,12.05
600668,尖峰集团,中势型(稳健),5,2026-02-10,11.59
600326,西藏天路,中势型(稳健),5,2026-02-10,11.3
002196,方正电机,中势型(稳健),5,2026-02-10,17.18
688597,煜邦电力,中势型(稳健),5,2026-01-16,9.92
603162,海通发展,中势型(稳健),5,2026-02-10,15.22
000829,天音控股,中势型(稳健),5,2026-02-10,10.82
002806,华锋股份,中势型(稳健),5,2026-02-10,16.5
002440,闰土股份,中势型(稳健),5,2026-02-10,14.96
002634,棒杰股份,中势型(稳健),5,2026-02-10,7.21
600207,安彩高科,中势型(稳健),5,2026-02-10,5.42
688179,阿拉丁,中势型(稳健),5,2026-01-16,16.8
