代码,名称,类型,调整天数,单阳日,现价
002674,兴业科技,强势型(优先),1,2026-06-18,19.69
002167,东方锆业,强势型(优先),1,2026-06-18,17.74
002354,天娱数科,强势型(优先),1,2026-06-18,8.5
002734,利民股份,强势型(优先),1,2026-06-18,18.94
000672,上峰水泥,强势型(优先),2,2026-06-17,18.76
002161,远 望 谷,强势型(优先),2,2026-06-17,6.01
603458,勘设股份,强势型(优先),2,2026-06-17,14.56
603137,恒尚节能,强势型(优先),3,2026-06-15,12.94
603949,雪龙集团,强势型(优先),3,2026-06-16,16.57
600703,三安光电,强势型(优先),3,2026-06-16,19.29
002440,闰土股份,中势型(稳健),4,2026-06-15,10.99
600497,驰宏锌锗,中势型(稳健),4,2026-06-15,11.31
600711,盛屯矿业,中势型(稳健),5,2026-06-12,13.43
600857,宁波中百,中势型(稳健),5,2026-06-12,15.32
603519,立霸股份,中势型(稳健),5,2026-06-12,15.05
