代码,名称,类型,调整天数,单阳日,现价
001299,美能能源,强势型(优先),1,2026-04-13,18.54
000990,诚志股份,强势型(优先),3,2026-04-09,10.77
000917,电广传媒,中势型(稳健),4,2026-04-08,9.94
600531,豫光金铅,中势型(稳健),4,2026-04-08,13.64
002449,国星光电,中势型(稳健),4,2026-04-08,8.09
002797,第一创业,中势型(稳健),4,2026-04-08,7.91
002685,华东重机,中势型(稳健),4,2026-04-08,8.11
600869,远东股份,中势型(稳健),4,2026-04-08,15.1
002400,省广集团,中势型(稳健),4,2026-04-08,8.74
002606,大连电瓷,中势型(稳健),4,2026-04-08,11.61
600063,皖维高新,中势型(稳健),5,2026-04-07,7.35
600623,华谊集团,中势型(稳健),5,2026-04-07,9.96
000695,滨海能源,中势型(稳健),5,2026-04-07,14.39
600110,诺德股份,中势型(稳健),5,2026-04-07,10.37
