代码,名称,类型,调整天数,单阳日,现价
603636,南威软件,强势型(优先),1,2026-05-07,11.11
002698,博实股份,强势型(优先),1,2026-05-07,14.98
002208,合肥城建,强势型(优先),1,2026-05-13,19.8
002930,宏川智慧,强势型(优先),1,2026-05-07,16.04
603997,继峰股份,强势型(优先),1,2026-05-07,13.17
600156,华升股份,强势型(优先),1,2026-05-13,14.19
603316,诚邦股份,强势型(优先),1,2026-05-07,19.15
002629,仁智股份,强势型(优先),1,2026-05-13,7.66
600821,金开新能,强势型(优先),2,2026-05-06,8.78
002355,兴民智通,强势型(优先),2,2026-05-06,6.68
002176,江特电机,中势型(稳健),4,2026-04-29,15.15
000973,佛塑科技,中势型(稳健),4,2026-04-29,19.88
603279,景津装备,中势型(稳健),4,2026-04-29,19.02
002136,安 纳 达,中势型(稳健),4,2026-04-29,15.47
