代码,名称,类型,调整天数,单阳日,现价
601369,陕鼓动力,强势型(优先),1,2026-06-26,9.05
002615,哈尔斯,强势型(优先),1,2026-06-30,7.1
000017,深中华A,强势型(优先),1,2026-06-30,6.08
600846,同济科技,强势型(优先),1,2026-06-30,10.54
002845,同兴达,强势型(优先),1,2026-06-30,16.42
603318,水发燃气,强势型(优先),2,2026-06-29,9.94
002366,融发核电,强势型(优先),2,2026-06-29,5.98
603001,奥康国际,强势型(优先),2,2026-06-24,14.14
600867,通化东宝,强势型(优先),2,2026-06-29,8.3
002180,纳思达,强势型(优先),2,2026-06-29,16.25
600458,时代新材,中势型(稳健),4,2026-06-25,16.59
000783,长江证券,中势型(稳健),4,2026-06-25,10.54
605069,正和生态,中势型(稳健),5,2026-06-24,15.83
600379,宝光股份,中势型(稳健),5,2026-06-24,15.38
002367,康力电梯,中势型(稳健),5,2026-06-24,7.06
002631,德尔未来,中势型(稳健),5,2026-06-24,11.48
