代码,名称,类型,调整天数,单阳日,现价
000506,招金黄金,强势型(优先),1,2026-07-02,13.87
002392,北京利尔,强势型(优先),1,2026-07-02,8.74
603928,兴业股份,强势型(优先),1,2026-07-02,14.7
605189,富春染织,强势型(优先),1,2026-07-02,16.05
601369,陕鼓动力,强势型(优先),2,2026-06-26,9.05
600661,昂立教育,强势型(优先),2,2026-07-01,7.54
000925,众合科技,强势型(优先),2,2026-07-01,9.76
002550,千红制药,强势型(优先),2,2026-07-01,6.84
002423,中粮资本,强势型(优先),2,2026-07-01,9.0
002615,哈尔斯,强势型(优先),3,2026-06-30,7.78
000017,深中华A,强势型(优先),3,2026-06-30,6.09
600846,同济科技,强势型(优先),3,2026-06-30,10.93
600867,通化东宝,中势型(稳健),4,2026-06-29,8.23
002180,纳思达,中势型(稳健),4,2026-06-29,16.37
