代码,名称,类型,调整天数,单阳日,现价
002522,浙江众成,强势型(优先),1,2026-04-29,6.35
600379,宝光股份,强势型(优先),1,2026-04-29,16.78
002348,高乐股份,强势型(优先),1,2026-04-29,11.13
000039,中集集团,强势型(优先),1,2026-04-29,12.39
603399,永杉锂业,强势型(优先),1,2026-04-29,19.39
002136,安 纳 达,强势型(优先),1,2026-04-29,15.09
002176,江特电机,强势型(优先),1,2026-04-29,16.05
000818,航锦科技,强势型(优先),1,2026-04-29,15.32
603279,景津装备,强势型(优先),1,2026-04-29,18.75
000782,恒申新材,强势型(优先),3,2026-04-27,7.38
002706,良信股份,强势型(优先),3,2026-04-27,11.57
000546,金圆股份,中势型(稳健),4,2026-04-24,7.72
603599,广信股份,中势型(稳健),4,2026-04-24,14.85
