代码,名称,类型,调整天数,单阳日,现价
605399,晨光新材,强势型(优先),1,2026-03-06,16.28
601789,宁波建工,强势型(优先),1,2026-03-06,6.04
605268,王力安防,强势型(优先),1,2026-03-06,15.33
600354,敦煌种业,强势型(优先),1,2026-03-06,7.84
600821,金开新能,强势型(优先),1,2026-03-06,9.46
600516,方大炭素,强势型(优先),2,2026-03-05,6.67
002456,欧菲光,强势型(优先),2,2026-03-05,9.48
002606,大连电瓷,强势型(优先),2,2026-03-05,14.08
603237,五芳斋,强势型(优先),2,2026-03-05,17.22
600550,保变电气,强势型(优先),2,2026-03-05,19.0
000533,顺钠股份,强势型(优先),3,2026-03-04,16.37
601919,中远海控,中势型(稳健),4,2026-03-03,15.52
600956,新天绿能,中势型(稳健),4,2026-03-03,8.14
