代码,名称,类型,调整天数,单阳日,现价
601636,旗滨集团,强势型(优先),1,2026-06-15,7.88
600497,驰宏锌锗,强势型(优先),1,2026-06-15,10.07
002515,金字火腿,强势型(优先),1,2026-06-15,9.11
002348,高乐股份,强势型(优先),1,2026-06-15,12.35
603137,恒尚节能,强势型(优先),1,2026-06-15,12.94
600110,诺德股份,强势型(优先),1,2026-06-15,15.65
002585,双星新材,强势型(优先),1,2026-06-15,14.01
600711,盛屯矿业,强势型(优先),2,2026-06-12,13.25
600857,宁波中百,强势型(优先),2,2026-06-12,15.91
001330,博纳影业,强势型(优先),2,2026-06-12,7.02
600601,方正科技,强势型(优先),2,2026-06-12,14.1
603519,立霸股份,强势型(优先),2,2026-06-12,14.06
600163,中闽能源,强势型(优先),2,2026-06-12,6.01
000025,特  力Ａ,中势型(稳健),4,2026-06-10,15.78
002960,青鸟消防,中势型(稳健),4,2026-06-10,9.15
002675,东诚药业,中势型(稳健),5,2026-06-09,12.64
600186,莲花控股,中势型(稳健),5,2026-06-09,13.33
