代码,名称,类型,调整天数,单阳日,现价
002297,博云新材,强势型(优先),1,2026-04-17,19.46
600156,华升股份,强势型(优先),1,2026-04-17,10.19
002418,康盛股份,强势型(优先),1,2026-04-17,6.81
600707,彩虹股份,强势型(优先),1,2026-04-17,8.57
600284,浦东建设,强势型(优先),2,2026-04-16,7.58
002491,通鼎互联,强势型(优先),2,2026-04-16,16.64
605336,帅丰电器,强势型(优先),2,2026-04-16,15.33
600507,方大特钢,强势型(优先),2,2026-04-16,6.06
601179,中国西电,强势型(优先),3,2026-04-15,18.22
000026,飞亚达,强势型(优先),3,2026-04-15,17.8
001896,豫能控股,强势型(优先),3,2026-04-15,18.79
002521,齐峰新材,中势型(稳健),4,2026-04-14,8.65
002051,中工国际,中势型(稳健),4,2026-04-14,11.97
