代码,名称,类型,调整天数,单阳日,现价
600516,方大炭素,强势型(优先),1,2026-03-05,6.73
002456,欧菲光,强势型(优先),1,2026-03-05,9.54
600590,泰豪科技,强势型(优先),1,2026-03-05,16.18
000703,恒逸石化,强势型(优先),1,2026-03-05,12.95
002606,大连电瓷,强势型(优先),1,2026-03-05,13.94
603237,五芳斋,强势型(优先),1,2026-03-05,17.39
000815,美利云,强势型(优先),1,2026-03-05,16.31
002559,亚威股份,强势型(优先),1,2026-03-05,10.18
600550,保变电气,强势型(优先),1,2026-03-05,18.71
000533,顺钠股份,强势型(优先),2,2026-03-04,14.88
605268,王力安防,强势型(优先),2,2026-03-04,13.94
600435,北方导航,中势型(稳健),4,2026-03-02,17.85
601872,招商轮船,中势型(稳健),4,2026-03-02,17.12
603618,杭电股份,中势型(稳健),5,2026-02-27,19.17
