代码,名称,类型,调整天数,单阳日,现价
603861,白云电器,强势型(优先),1,2026-02-24,18.13
600667,太极实业,强势型(优先),1,2026-02-24,10.8
002283,天润工业,强势型(优先),1,2026-02-24,10.05
603601,再升科技,强势型(优先),1,2026-02-24,13.02
600470,六国化工,强势型(优先),1,2026-02-24,7.84
603466,风语筑,强势型(优先),1,2026-02-24,12.97
603002,宏昌电子,强势型(优先),1,2026-02-24,11.54
603588,高能环境,强势型(优先),1,2026-02-24,11.69
600869,远东股份,强势型(优先),1,2026-02-24,14.26
601777,千里科技,强势型(优先),2,2026-02-13,11.39
002131,利欧股份,强势型(优先),3,2026-02-12,9.34
002340,格林美,中势型(稳健),4,2026-02-11,9.84
002806,华锋股份,中势型(稳健),5,2026-02-10,16.5
600207,安彩高科,中势型(稳健),5,2026-02-10,5.42
688179,阿拉丁,中势型(稳健),5,2026-01-16,16.8
