代码,名称,类型,调整天数,单阳日,现价
000567,海德股份,强势型(优先),1,2026-04-30,6.64
600379,宝光股份,强势型(优先),1,2026-04-30,18.46
603937,丽岛新材,强势型(优先),1,2026-04-30,16.78
000783,长江证券,强势型(优先),1,2026-04-30,8.79
002522,浙江众成,强势型(优先),2,2026-04-29,6.48
002348,高乐股份,强势型(优先),2,2026-04-29,11.85
002136,安 纳 达,强势型(优先),2,2026-04-29,15.56
002176,江特电机,强势型(优先),2,2026-04-29,15.7
000818,航锦科技,强势型(优先),2,2026-04-29,16.85
603279,景津装备,强势型(优先),2,2026-04-29,18.76
000782,恒申新材,中势型(稳健),4,2026-04-27,7.51
002706,良信股份,中势型(稳健),4,2026-04-27,11.74
000546,金圆股份,中势型(稳健),5,2026-04-24,7.82
