代码,名称,类型,调整天数,单阳日,现价
603956,威派格,强势型(优先),1,2026-06-25,5.83
603001,奥康国际,强势型(优先),1,2026-06-24,14.14
002928,华夏航空,强势型(优先),1,2026-06-25,7.64
603335,迪生力,强势型(优先),1,2026-06-25,9.04
000783,长江证券,强势型(优先),1,2026-06-25,9.76
600516,方大炭素,强势型(优先),1,2026-06-25,6.47
605069,正和生态,强势型(优先),2,2026-06-24,14.51
600379,宝光股份,强势型(优先),2,2026-06-24,14.52
002367,康力电梯,强势型(优先),2,2026-06-24,6.68
600246,万通发展,强势型(优先),2,2026-06-24,19.97
002631,德尔未来,强势型(优先),2,2026-06-24,9.89
000571,新大洲A,强势型(优先),3,2026-06-23,6.25
002068,黑猫股份,强势型(优先),3,2026-06-23,14.6
002601,龙佰集团,中势型(稳健),4,2026-06-22,17.37
600178,东安动力,中势型(稳健),4,2026-06-22,10.2
002910,庄园牧场,中势型(稳健),4,2026-06-22,12.27
603137,恒尚节能,中势型(稳健),5,2026-06-15,12.94
002734,利民股份,中势型(稳健),5,2026-06-18,17.81
