代码,名称,类型,调整天数,单阳日,现价
002698,博实股份,强势型(优先),1,2026-05-07,14.98
603636,南威软件,强势型(优先),1,2026-05-07,11.11
002930,宏川智慧,强势型(优先),1,2026-05-07,16.04
605006,山东玻纤,强势型(优先),1,2026-05-07,14.87
603316,诚邦股份,强势型(优先),1,2026-05-07,19.15
603997,继峰股份,强势型(优先),1,2026-05-07,13.17
002355,兴民智通,强势型(优先),2,2026-05-06,6.68
600821,金开新能,强势型(优先),2,2026-05-06,8.78
000567,海德股份,强势型(优先),3,2026-04-30,6.83
002348,高乐股份,中势型(稳健),4,2026-04-29,12.37
002136,安 纳 达,中势型(稳健),4,2026-04-29,15.47
000973,佛塑科技,中势型(稳健),4,2026-04-29,19.88
002176,江特电机,中势型(稳健),4,2026-04-29,15.15
603279,景津装备,中势型(稳健),4,2026-04-29,19.02
