代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
603776,永安行,19.86,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002999,天禾股份,7.25,100%,50.0%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002457,青龙管业,11.78,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002429,兆驰股份,11.46,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605268,王力安防,13.2,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600429,三元股份,5.96,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600535,天士力,15.12,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600846,同济科技,12.79,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603890,春秋电子,18.95,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603060,国检集团,6.78,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002748,世龙实业,12.92,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600148,长春一东,19.17,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000001,平安银行,11.36,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603170,宝立食品,13.55,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601218,吉鑫科技,6.55,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002193,如意集团,6.52,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002406,远东传动,8.09,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
