代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
001366,播恩集团,15.28,100%,83.3%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002585,双星新材,7.89,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600971,恒源煤电,7.84,100%,66.7%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600123,兰花科创,6.65,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002999,天禾股份,7.2,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603776,永安行,19.81,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002910,庄园牧场,11.49,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002982,湘佳股份,14.52,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600508,上海能源,13.5,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000829,天音控股,11.51,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603214,爱婴室,16.76,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000702,正虹科技,7.01,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600356,恒丰纸业,10.02,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002972,科安达,13.36,100%,44.4%,9,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
003003,天元股份,14.02,100%,42.9%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603219,富佳股份,16.98,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603519,立霸股份,14.78,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002845,同兴达,14.66,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000983,山西焦煤,6.88,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600561,江西长运,7.07,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002457,青龙管业,11.59,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603279,景津装备,19.02,100%,33.3%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002867,周大生,13.23,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600388,龙净环保,19.06,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001219,青岛食品,15.43,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002858,力盛体育,16.89,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002654,万润科技,14.96,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002441,众业达,10.24,100%,100.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002386,天原股份,6.68,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603808,歌力思,10.81,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000301,东方盛虹,12.85,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603225,新凤鸣,18.17,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600493,凤竹纺织,7.6,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600267,海正药业,11.55,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
601001,晋控煤业,17.81,100%,100.0%,7,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603161,科华控股,14.93,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603333,尚纬股份,8.54,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002216,三全食品,14.16,100%,0.0%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600461,洪城环境,10.14,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002037,保利联合,8.68,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600694,大商股份,17.97,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600229,城市传媒,6.28,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
