代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
002350,北京科锐,14.1,100%,83.3%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
601636,旗滨集团,6.33,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002250,联化科技,16.55,100%,66.7%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603936,博敏电子,15.5,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603776,永安行,19.83,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600023,浙能电力,5.7,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002982,湘佳股份,14.5,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002556,辉隆股份,6.33,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605055,迎丰股份,11.21,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600703,三安光电,13.67,100%,42.9%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603012,创力集团,8.66,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603466,风语筑,9.72,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603132,金徽股份,19.47,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605208,永茂泰,14.73,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603599,广信股份,14.85,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002429,兆驰股份,11.05,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002960,青鸟消防,12.1,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000819,岳阳兴长,16.34,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002327,富安娜,7.37,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001286,陕西能源,11.8,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002950,奥美医疗,13.77,100%,100.0%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600429,三元股份,6.09,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600535,天士力,15.13,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002480,新筑股份,6.6,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603327,福蓉科技,10.8,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000722,湖南发展,14.24,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600235,民丰特纸,6.95,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600724,宁波富达,6.97,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603111,康尼机电,6.92,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002566,益盛药业,8.33,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000570,苏常柴Ａ,6.42,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000037,深南电A,10.8,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600927,永安期货,14.82,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603060,国检集团,6.68,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600633,浙数文化,13.12,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603233,大参林,18.72,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601997,贵阳银行,6.01,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600148,长春一东,19.13,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601179,中国西电,16.92,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603693,江苏新能,14.73,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000001,平安银行,11.49,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603006,联明股份,13.46,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603788,宁波高发,16.88,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603137,恒尚节能,13.84,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603967,中创物流,13.93,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603970,中农立华,13.21,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603315,福鞍股份,16.81,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002823,凯中精密,16.24,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002237,恒邦股份,16.61,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000810,创维数字,12.69,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600203,福日电子,12.21,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601665,齐鲁银行,6.39,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002669,康达新材,13.47,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603617,君禾股份,7.59,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000422,湖北宜化,16.9,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002539,云图控股,15.39,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002949,华阳国际,14.39,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600538,国发股份,6.72,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002406,远东传动,7.96,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002846,英联股份,15.4,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002674,兴业科技,13.48,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603223,恒通股份,9.03,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
