代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
603012,创力集团,9.71,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000404,长虹华意,8.82,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603158,腾龙股份,15.25,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603466,风语筑,10.75,100%,62.5%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603777,来伊份,18.9,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002387,维信诺,8.51,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002208,合肥城建,18.4,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601963,重庆银行,11.35,100%,50.0%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001258,立新能源,10.26,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002011,盾安环境,12.56,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002806,华锋股份,15.28,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605018,长华集团,13.95,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002453,华软科技,6.05,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002893,京能热力,11.78,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603305,旭升集团,16.4,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002917,金奥博,14.29,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002654,万润科技,16.42,100%,100.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600596,新安股份,12.57,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601198,东兴证券,13.44,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002825,纳尔股份,10.6,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002635,安洁科技,18.02,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002861,瀛通通讯,18.24,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000411,英特集团,12.07,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603677,奇精机械,17.25,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000859,国风新材,9.74,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002030,达安基因,6.75,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600449,宁夏建材,14.73,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603206,嘉环科技,18.54,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600530,交大昂立,6.91,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002174,游族网络,11.62,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600336,澳柯玛,8.03,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
