代码,名称,当前价,信号,历史胜率,期望收益,综合评分,建议
600470,六国化工,8.65,强势假阴洗盘,70.0%,3.2%,109.0,精选品种，一击必中
601001,晋控煤业,17.62,强势假阴洗盘,66.7%,2.5%,108.33333333333333,精选品种，一击必中
