代码,名称,当前价,信号,历史胜率,期望收益,综合评分,建议
600773,西藏城投,18.47,强势假阴洗盘,77.8%,9.7%,110.55555555555556,精选品种，一击必中
600869,远东股份,13.24,强势假阴洗盘,57.1%,4.7%,106.42857142857143,精选品种，一击必中
