代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
000825,太钢不锈,5.15,100%,87.5%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002585,双星新材,7.4,100%,87.5%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002806,华锋股份,15.81,100%,85.7%,7,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
605069,正和生态,13.85,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002887,绿茵生态,11.33,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603969,银龙股份,10.22,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600546,山煤国际,11.81,100%,66.7%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603399,永杉锂业,11.2,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600966,博汇纸业,8.25,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002278,神开股份,14.11,100%,50.0%,10,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600703,三安光电,16.13,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000159,国际实业,7.27,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000586,汇源通信,15.61,100%,50.0%,10,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000630,铜陵有色,7.66,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000932,华菱钢铁,6.4,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603002,宏昌电子,10.64,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603967,中创物流,13.02,100%,30.0%,10,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603162,海通发展,14.86,100%,28.6%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601187,厦门银行,7.46,100%,25.0%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600233,圆通速递,18.99,100%,25.0%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002221,东华能源,8.97,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000729,燕京啤酒,12.92,100%,11.1%,9,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605055,迎丰股份,9.78,100%,100.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000823,超声电子,15.24,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
605299,舒华体育,12.09,100%,100.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
605006,山东玻纤,9.49,100%,100.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603088,宁波精达,12.66,100%,100.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
003036,泰坦股份,18.26,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000830,鲁西化工,18.73,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002248,华东数控,13.82,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600886,国投电力,13.73,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002576,通达动力,18.93,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603878,武进不锈,9.19,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600884,杉杉股份,14.27,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000655,金岭矿业,10.77,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603209,兴通股份,16.1,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002511,中顺洁柔,8.62,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000403,派林生物,13.89,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002085,万丰奥威,16.13,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002053,云南能投,11.91,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603227,雪峰科技,8.85,100%,0.0%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603871,嘉友国际,15.1,100%,0.0%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002632,道明光学,12.95,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600497,驰宏锌锗,10.02,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000758,中色股份,8.03,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002011,盾安环境,13.09,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000060,中金岭南,7.64,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605018,长华集团,11.86,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
