代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
600983,惠而浦,12.04,100%,87.5%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000917,电广传媒,11.77,100%,85.7%,7,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002205,国统股份,14.85,100%,83.3%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600883,博闻科技,8.84,100%,83.3%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600876,凯盛新能,11.06,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002395,双象股份,19.95,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002111,威海广泰,11.22,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600063,皖维高新,7.32,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600234,科新发展,14.12,100%,75.0%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002492,恒基达鑫,9.07,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002799,环球印务,9.59,100%,62.5%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600353,旭光电子,19.25,100%,62.5%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603887,城地香江,15.89,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600851,海欣股份,8.25,100%,60.0%,10,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600583,海油工程,7.21,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002723,小崧股份,9.36,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002427,尤夫股份,7.69,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603999,读者传媒,7.81,100%,55.6%,9,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002254,泰和新材,13.41,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002562,兄弟科技,7.8,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000973,佛塑科技,13.54,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603311,金海高科,16.37,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600610,中毅达,12.03,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000042,中洲控股,9.07,100%,42.9%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002951,金时科技,15.59,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600618,氯碱化工,15.91,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603135,中重科技,11.88,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000798,中水渔业,11.93,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002873,新天药业,10.59,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600189,泉阳泉,8.68,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000553,安道麦A,6.23,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603096,新经典,19.19,100%,28.6%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600028,中国石化,6.46,100%,28.6%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002367,康力电梯,8.19,100%,25.0%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603176,汇通集团,5.81,100%,25.0%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600724,宁波富达,6.91,100%,22.2%,9,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002412,汉森制药,7.47,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001322,箭牌家居,9.2,100%,18.2%,11,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000407,胜利股份,5.21,100%,16.7%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
