代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
002438,江苏神通,18.14,100%,88.9%,9,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002658,雪迪龙,11.0,100%,88.9%,9,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000825,太钢不锈,5.13,100%,87.5%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002585,双星新材,7.41,100%,87.5%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
601118,海南橡胶,7.43,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603969,银龙股份,10.3,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603876,鼎胜新材,18.84,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002040,南 京 港,11.18,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
601001,晋控煤业,16.94,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600546,山煤国际,11.72,100%,66.7%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603399,永杉锂业,11.06,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002012,凯恩股份,7.19,100%,62.5%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600028,中国石化,6.88,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001299,美能能源,13.74,100%,56.2%,16,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603042,华脉科技,19.66,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603977,国泰集团,15.31,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000159,国际实业,7.2,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603628,清源股份,14.37,100%,50.0%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600428,中远海特,8.28,100%,44.4%,9,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002078,太阳纸业,16.85,100%,42.9%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
