代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
002772,众兴菌业,17.95,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
601001,晋控煤业,17.0,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600063,皖维高新,7.26,100%,66.7%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002688,金河生物,6.3,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603269,海鸥股份,15.0,100%,55.6%,9,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000862,银星能源,7.29,100%,50.0%,10,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002221,东华能源,9.27,100%,50.0%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002053,云南能投,12.28,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000155,川能动力,14.33,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002632,道明光学,13.62,100%,42.9%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601068,中铝国际,6.25,100%,42.9%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002125,湘潭电化,14.79,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600268,国电南自,14.47,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002177,御银股份,8.95,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000557,西部创业,5.1,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000600,建投能源,9.42,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603098,森特股份,15.78,100%,28.6%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600769,祥龙电业,14.22,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600084,中信尼雅,7.06,100%,16.7%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000949,新乡化纤,7.28,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002394,联发股份,15.52,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603017,中衡设计,13.18,100%,100.0%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000507,珠海港,5.62,100%,10.0%,10,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600156,华升股份,8.18,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600241,时代万恒,9.12,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000065,北方国际,13.0,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002805,丰元股份,17.37,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601969,海南矿业,12.82,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000803,山高环能,9.56,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600163,中闽能源,6.49,100%,0.0%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
