代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
002631,德尔未来,7.04,100%,75.0%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000703,恒逸石化,12.43,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000862,银星能源,7.93,100%,70.0%,10,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002729,好利科技,19.73,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600012,皖通高速,15.48,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002795,永和智控,7.81,100%,42.9%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000065,北方国际,13.75,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603311,金海高科,16.43,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600468,百利电气,9.23,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000856,冀东装备,11.7,100%,33.3%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600732,爱旭股份,15.19,100%,22.2%,9,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601218,吉鑫科技,6.9,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603165,荣晟环保,15.15,100%,16.7%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600054,黄山旅游,13.34,100%,16.7%,12,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600084,中信尼雅,7.1,100%,14.3%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001300,三柏硕,16.86,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600643,爱建集团,5.12,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605500,森林包装,9.25,100%,0.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603990,麦迪科技,15.08,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
