代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
601872,招商轮船,15.58,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600546,山煤国际,12.39,100%,75.0%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002575,群兴玩具,7.91,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
001299,美能能源,13.96,100%,58.8%,17,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605066,天正电气,8.73,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002706,良信股份,11.83,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603012,创力集团,8.21,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002082,万邦德,18.51,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002963,豪尔赛,15.81,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002632,道明光学,13.28,100%,42.9%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002579,中京电子,12.23,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002729,好利科技,19.41,100%,33.3%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002725,跃岭股份,16.67,100%,33.3%,9,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002166,莱茵生物,9.4,100%,30.8%,13,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000993,闽东电力,14.15,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603165,荣晟环保,14.63,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605368,蓝天燃气,8.54,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603070,万控智造,15.99,100%,14.3%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002520,日发精机,6.61,100%,14.3%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600590,泰豪科技,14.5,100%,100.0%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002448,中原内配,16.18,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600218,全柴动力,10.83,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002358,森源电气,8.7,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603088,宁波精达,12.72,100%,100.0%,7,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
003036,泰坦股份,18.4,100%,100.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
003025,思进智能,15.08,100%,0.0%,1,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002453,华软科技,6.21,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000913,钱江摩托,15.91,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000803,山高环能,9.77,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
