代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
601118,海南橡胶,7.75,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002040,南 京 港,11.1,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600192,长城电工,9.94,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002802,洪汇新材,14.05,100%,66.7%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000755,山西高速,5.54,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600080,金花股份,8.71,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002795,永和智控,7.81,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002999,天禾股份,7.74,100%,42.9%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600313,农发种业,8.45,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002556,辉隆股份,6.94,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601068,中铝国际,6.28,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600126,杭钢股份,9.07,100%,37.5%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600191,华资实业,13.31,100%,37.5%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600219,南山铝业,7.35,100%,28.6%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603187,海容冷链,16.85,100%,28.6%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600359,新农开发,7.84,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000590,启迪药业,12.23,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002724,海洋王,7.75,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600371,万向德农,9.7,100%,16.7%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605077,华康股份,16.22,100%,12.5%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600960,渤海汽车,5.69,100%,100.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002357,富临运业,15.21,100%,100.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600854,春兰股份,5.45,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603823,百合花,17.79,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603707,健友股份,9.86,100%,0.0%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000953,河化股份,7.39,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002366,融发核电,8.15,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601677,明泰铝业,16.64,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600973,宝胜股份,7.62,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
003042,中农联合,18.53,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
605368,蓝天燃气,8.52,100%,0.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600127,金健米业,7.28,100%,0.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002909,集泰股份,7.46,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002749,国光股份,14.03,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
