代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
002691,冀凯股份,8.89,100%,83.3%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
605299,舒华体育,11.98,100%,83.3%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603636,南威软件,12.53,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002462,嘉事堂,16.27,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600353,旭光电子,17.75,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002866,传艺科技,19.09,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002277,友阿股份,7.68,100%,75.0%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000680,山推股份,12.45,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002712,思美传媒,6.24,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600579,中化装备,8.85,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000936,华西股份,8.66,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603928,兴业股份,17.46,100%,71.4%,7,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000783,长江证券,8.56,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603528,多伦科技,10.78,100%,66.7%,9,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603116,红蜻蜓,6.4,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600120,浙江东方,6.72,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002093,国脉科技,11.85,100%,66.7%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600186,莲花控股,6.12,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000650,仁和药业,6.11,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600551,时代出版,8.57,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600106,重庆路桥,6.58,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000917,电广传媒,11.24,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603682,锦和商管,7.05,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600152,维科技术,7.67,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600713,南京医药,5.52,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002355,兴民智通,6.72,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002571,德力股份,12.12,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600650,锦江在线,16.21,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600998,九州通,5.26,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603387,基蛋生物,8.58,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002669,康达新材,15.13,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603125,常青科技,18.92,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000958,电投产融,6.86,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603898,好莱客,14.53,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000155,川能动力,12.67,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002279,久其软件,8.78,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000810,创维数字,12.3,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000710,贝瑞基因,12.64,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600135,乐凯胶片,10.82,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002031,巨轮智能,8.26,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600909,华安证券,7.09,100%,41.7%,12,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002698,博实股份,17.39,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600826,兰生股份,11.9,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000721,西安饮食,9.81,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600558,大西洋,6.47,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002095,生 意 宝,19.03,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002771,真视通,15.82,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002637,赞宇科技,11.02,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002232,启明信息,19.78,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002125,湘潭电化,14.59,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600722,金牛化工,6.49,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600513,联环药业,19.9,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000756,新华制药,16.28,100%,33.3%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600775,南京熊猫,14.92,100%,33.3%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603679,华体科技,16.93,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001299,美能能源,12.96,100%,33.3%,9,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002333,罗普斯金,5.98,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601808,中海油服,14.94,100%,28.6%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603877,太平鸟,16.35,100%,28.6%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600784,鲁银投资,7.2,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002029,七 匹 狼,12.69,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603002,宏昌电子,8.07,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002579,中京电子,12.3,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002059,云南旅游,5.66,100%,25.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002828,贝肯能源,11.72,100%,25.0%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002209,达 意 隆,16.66,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000968,蓝焰控股,6.99,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600661,昂立教育,10.66,100%,16.7%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002243,力合科创,10.93,100%,16.7%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603999,读者传媒,7.36,100%,16.7%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002166,莱茵生物,9.03,100%,14.3%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002373,千方科技,12.74,100%,14.3%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002858,力盛体育,16.63,100%,12.5%,8,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002036,联创电子,11.75,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600367,红星发展,18.89,100%,100.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600251,冠农股份,9.82,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002040,南 京 港,10.33,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000678,襄阳轴承,15.05,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603017,中衡设计,12.12,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002878,元隆雅图,19.37,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600611,大众交通,5.93,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000788,北大医药,6.55,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002176,江特电机,10.09,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600756,浪潮软件,18.88,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603106,恒银科技,11.17,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603169,兰石重装,11.66,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002599,盛通股份,8.75,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600728,佳都科技,6.95,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600557,康缘药业,14.98,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603399,永杉锂业,11.16,100%,100.0%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600446,金证股份,16.62,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002301,齐心集团,7.95,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002194,武汉凡谷,13.75,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000892,欢瑞世纪,7.9,100%,100.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002098,浔兴股份,10.4,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002512,达华智能,6.69,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600773,西藏城投,13.7,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600983,惠而浦,10.59,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002530,金财互联,10.92,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
601921,浙版传媒,8.09,100%,100.0%,1,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002088,鲁阳节能,11.53,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603739,蔚蓝生物,15.59,100%,0.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002908,德生科技,10.7,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603900,莱绅通灵,9.13,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002932,明德生物,18.71,100%,0.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000852,石化机械,7.7,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002635,安洁科技,14.31,100%,0.0%,0,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000409,云鼎科技,11.85,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
