代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
002510,天汽模,7.94,100%,87.5%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002787,华源控股,13.73,100%,83.3%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
601156,东航物流,19.33,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002861,瀛通通讯,19.58,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600965,福成股份,6.26,100%,75.0%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002094,青岛金王,8.16,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002712,思美传媒,6.42,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600858,银座股份,7.17,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002348,高乐股份,6.24,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603269,海鸥股份,13.37,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000411,英特集团,13.72,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603015,弘讯科技,15.03,100%,55.6%,9,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002029,七 匹 狼,12.46,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002171,楚江新材,14.11,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600468,百利电气,7.75,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603137,恒尚节能,14.51,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603776,永安行,19.39,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600163,中闽能源,5.97,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603586,金麒麟,19.77,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002763,汇洁股份,8.05,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002187,广百股份,8.66,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002875,安奈儿,17.63,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002300,太阳电缆,9.79,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
601200,上海环境,8.52,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002031,巨轮智能,8.09,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
001338,永顺泰,12.69,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
003003,天元股份,13.77,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002584,西陇科学,9.88,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
