代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
605299,舒华体育,11.98,100%,83.3%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603636,南威软件,12.53,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002462,嘉事堂,16.27,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600353,旭光电子,17.75,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
601156,东航物流,19.33,100%,80.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002866,传艺科技,19.09,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002277,友阿股份,7.68,100%,75.0%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002861,瀛通通讯,19.58,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600965,福成股份,6.26,100%,75.0%,8,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002712,思美传媒,6.42,100%,75.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603928,兴业股份,17.46,100%,71.4%,7,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000783,长江证券,8.56,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603528,多伦科技,10.78,100%,66.7%,9,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603116,红蜻蜓,6.4,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600120,浙江东方,6.72,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002093,国脉科技,11.85,100%,66.7%,6,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600186,莲花控股,6.12,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000650,仁和药业,6.11,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600551,时代出版,8.57,100%,66.7%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600106,重庆路桥,6.58,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
000917,电广传媒,11.24,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
603682,锦和商管,7.05,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600152,维科技术,7.67,100%,60.0%,5,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
600713,南京医药,5.52,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603269,海鸥股份,13.37,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000411,英特集团,13.72,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002355,兴民智通,6.72,100%,57.1%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603015,弘讯科技,15.03,100%,55.6%,9,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002029,七 匹 狼,12.46,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002171,楚江新材,14.11,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603586,金麒麟,19.77,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600650,锦江在线,16.21,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002669,康达新材,15.13,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603125,常青科技,18.92,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000958,电投产融,6.86,100%,50.0%,6,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000155,川能动力,12.67,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002279,久其软件,8.78,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000810,创维数字,12.3,100%,50.0%,2,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000710,贝瑞基因,12.64,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002031,巨轮智能,8.09,100%,50.0%,4,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600826,兰生股份,11.9,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
000721,西安饮食,9.81,100%,40.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002095,生 意 宝,19.03,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002771,真视通,15.82,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
002232,启明信息,19.78,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600888,新疆众和,8.91,100%,33.3%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
