代码,名称,当前价,信号,历史胜率,期望收益,综合评分,建议
002478,常宝股份,11.31,强势假阴洗盘,90.0%,13.7%,113.0,精选品种，一击必中
603335,迪生力,6.16,强势假阴洗盘,88.9%,7.8%,112.77777777777777,精选品种，一击必中
601598,中国外运,6.28,强势假阴洗盘,83.3%,0.6%,111.66666666666667,精选品种，一击必中
603311,金海高科,17.7,强势假阴洗盘,71.4%,-0.5%,109.28571428571429,精选品种，一击必中
