代码,名称,当前价,信号,历史胜率,期望收益,综合评分,建议
000967,盈峰环境,9.37,强势假阴洗盘,83.3%,9.1%,111.66666666666667,精选品种，一击必中
600768,宁波富邦,17.4,强势假阴洗盘,66.7%,5.0%,108.33333333333333,精选品种，一击必中
