代码,名称,当前价,信号,历史胜率,期望收益,综合评分,建议
002478,常宝股份,10.96,强势假阴洗盘,90.0%,13.7%,113.0,精选品种，一击必中
600589,大位科技,11.4,强势假阴洗盘,90.0%,25.3%,113.0,精选品种，一击必中
002998,优彩资源,9.0,强势假阴洗盘,60.0%,0.7%,107.0,精选品种，一击必中
